packet_size,ttl,protocol,src_port,dst_port,flags,tcp_window,payload_size
0.04411764705882353,0.1968503937007874,0.35294117647058826,0.007263247639034628,0.7994818992654774,0.96,0.0011749446860456244,0.04245689655172414
0.003443328550932568,0.1968503937007874,0.35294117647058826,0.007263247639034628,0.7994818992654774,1.0,0.0011749446860456244,0.0017241379310344827
0.001721664275466284,0.25196850393700787,0.35294117647058826,0.7994818992654774,0.007263247639034628,0.64,0.00123598077363241,0.0
0.003443328550932568,0.25196850393700787,0.35294117647058826,0.7994818992654774,0.007263247639034628,0.96,0.00123598077363241,0.0017241379310344827
0.001721664275466284,0.25196850393700787,0.35294117647058826,0.7994818992654774,0.007263247639034628,0.68,0.00123598077363241,0.0
0.001291248206599713,0.1968503937007874,0.35294117647058826,0.007263247639034628,0.7994818992654774,0.16,0.0,0.0
0.005164992826398852,0.0,0.0,0.007263247639034628,0.8426350996852047,0.96,0.0040131227588311585,0.002011494252873563
0.0031563845050215206,0.0,0.0,0.8426350996852047,0.007263247639034628,0.64,0.0011291676203555353,0.0
0.004519368723098996,0.25196850393700787,0.35294117647058826,0.8575222980062959,0.007263247639034628,0.96,0.001190203707942321,0.0028017241379310344
0.003443328550932568,0.25196850393700787,0.35294117647058826,0.8575222980062959,0.007263247639034628,1.0,0.001190203707942321,0.0017241379310344827
0.001721664275466284,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8575222980062959,0.64,0.01585412375066758,0.0
0.001721664275466284,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8575222980062959,0.68,0.01585412375066758,0.0
0.001721664275466284,0.25196850393700787,0.35294117647058826,0.8575222980062959,0.007263247639034628,0.64,0.001190203707942321,0.0
0.0024390243902439024,0.25196850393700787,1.0,0.9880804039874082,0.0008689664218258132,0.0,0.0,0.0
0.0024390243902439024,0.25196850393700787,1.0,0.928711962224554,0.0008689664218258132,0.0,0.0,0.0
0.0024390243902439024,0.25196850393700787,1.0,0.928711962224554,0.0008689664218258132,0.0,0.0,0.0
0.008106169296987088,0.25196850393700787,1.0,0.0008689664218258132,0.9880804039874082,0.0,0.0,0.0
0.003586800573888092,0.25196850393700787,1.0,0.0008689664218258132,0.928711962224554,0.0,0.0,0.0
0.004447632711621234,0.25196850393700787,1.0,0.0008689664218258132,0.928711962224554,0.0,0.0,0.0
0.0024390243902439024,0.25196850393700787,1.0,0.5963568992654774,0.0008689664218258132,0.0,0.0,0.0
0.0024390243902439024,0.25196850393700787,1.0,0.5963568992654774,0.0008689664218258132,0.0,0.0,0.0
0.003586800573888092,0.25196850393700787,1.0,0.0008689664218258132,0.5963568992654774,0.0,0.0,0.0
0.004447632711621234,0.25196850393700787,1.0,0.0008689664218258132,0.5963568992654774,0.0,0.0,0.0
0.009827833572453372,0.25196850393700787,0.35294117647058826,0.8594241867785939,0.007263247639034628,0.96,0.0012054627298390174,0.008117816091954022
0.10416068866571018,0.25196850393700787,0.35294117647058826,0.8594241867785939,0.007263247639034628,0.64,0.0012054627298390174,0.10258620689655172
0.10416068866571018,0.25196850393700787,0.35294117647058826,0.8594241867785939,0.007263247639034628,0.96,0.0012054627298390174,0.10258620689655172
0.016571018651362984,0.25196850393700787,0.35294117647058826,0.8594241867785939,0.007263247639034628,0.96,0.0012054627298390174,0.014870689655172414
0.0037302725968436155,0.0,0.0,0.847193074501574,0.007263247639034628,0.08,0.9832913710231174,0.0
0.0037302725968436155,0.0,0.0,0.007263247639034628,0.847193074501574,0.72,0.4357976653696498,0.0
0.0031563845050215206,0.0,0.0,0.847193074501574,0.007263247639034628,0.64,0.0009613183794918746,0.0
0.10502152080344333,0.0,0.0,0.847193074501574,0.007263247639034628,0.64,0.0009613183794918746,0.10201149425287356
0.037517934002869444,0.0,0.0,0.847193074501574,0.007263247639034628,0.96,0.0009613183794918746,0.03441091954022989
0.0031563845050215206,0.0,0.0,0.007263247639034628,0.847193074501574,0.64,0.0004730296787975891,0.0
0.0031563845050215206,0.0,0.0,0.007263247639034628,0.847193074501574,0.64,0.0005188067444876783,0.0
0.10416068866571018,0.0,0.0,0.007263247639034628,0.847193074501574,0.64,0.0005188067444876783,0.10114942528735632
0.0031563845050215206,0.0,0.0,0.847193074501574,0.007263247639034628,0.64,0.001007095445181964,0.0
0.10416068866571018,0.0,0.0,0.007263247639034628,0.847193074501574,0.64,0.0005188067444876783,0.10114942528735632
0.0031563845050215206,0.0,0.0,0.847193074501574,0.007263247639034628,0.64,0.001052872510872053,0.0
0.09497847919655668,0.0,0.0,0.007263247639034628,0.847193074501574,0.96,0.0005188067444876783,0.09195402298850575
0.0031563845050215206,0.0,0.0,0.847193074501574,0.007263247639034628,0.64,0.0010986495765621424,0.0
0.10416068866571018,0.0,0.0,0.007263247639034628,0.847193074501574,0.64,0.0005188067444876783,0.10114942528735632
0.0031563845050215206,0.0,0.0,0.847193074501574,0.007263247639034628,0.64,0.0011444266422522317,0.0
0.007675753228120517,0.0,0.0,0.007263247639034628,0.847193074501574,0.96,0.0005188067444876783,0.004525862068965518
0.0031563845050215206,0.0,0.0,0.847193074501574,0.007263247639034628,0.64,0.0011444266422522317,0.0
0.008895265423242468,0.0,0.0,0.847193074501574,0.007263247639034628,0.96,0.0011444266422522317,0.005747126436781609
0.00975609756097561,0.0,0.0,0.847193074501574,0.007263247639034628,0.96,0.0011444266422522317,0.0066091954022988505
0.02898134863701578,0.0,0.0,0.847193074501574,0.007263247639034628,0.96,0.0011444266422522317,0.02586206896551724
0.001721664275466284,0.4015748031496063,0.35294117647058826,0.007263247639034628,0.8594241867785939,0.64,0.25001907377737087,0.0
0.004519368723098996,0.4015748031496063,0.35294117647058826,0.007263247639034628,0.8594241867785939,0.96,0.25001907377737087,0.0028017241379310344
0.001721664275466284,0.4015748031496063,0.35294117647058826,0.007263247639034628,0.8594241867785939,0.64,0.25001907377737087,0.0
0.024892395982783356,0.0,0.0,0.007263247639034628,0.847193074501574,0.96,0.0005188067444876783,0.021767241379310343
0.024892395982783356,0.0,0.0,0.007263247639034628,0.847193074501574,0.96,0.0005188067444876783,0.021767241379310343
0.007604017216642754,0.0,0.0,0.007263247639034628,0.847193074501574,0.96,0.0005188067444876783,0.004454022988505747
0.005380200860832138,0.0,0.0,0.007263247639034628,0.847193074501574,0.96,0.0005188067444876783,0.0022270114942528735
0.005380200860832138,0.0,0.0,0.847193074501574,0.007263247639034628,0.96,0.0011749446860456244,0.0022270114942528735
0.017288378766140602,0.0,0.0,0.007263247639034628,0.847193074501574,0.96,0.0005645838101777677,0.014152298850574712
0.001721664275466284,0.25196850393700787,0.35294117647058826,0.8594241867785939,0.007263247639034628,0.64,0.0012054627298390174,0.0
0.0031563845050215206,0.0,0.0,0.847193074501574,0.007263247639034628,0.64,0.0011749446860456244,0.0
0.0031563845050215206,0.0,0.0,0.007263247639034628,0.847193074501574,0.64,0.0005645838101777677,0.0
0.0022955523672883787,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.08,0.9970244907301442,0.0
0.003443328550932568,0.25196850393700787,1.0,0.658692943336831,0.0008689664218258132,0.0,0.0,0.0
0.003443328550932568,0.25196850393700787,1.0,0.658692943336831,0.0008689664218258132,0.0,0.0,0.0
0.008823529411764706,0.25196850393700787,1.0,0.0008689664218258132,0.658692943336831,0.0,0.0,0.0
0.013342898134863702,0.25196850393700787,1.0,0.0008689664218258132,0.658692943336831,0.0,0.0,0.0
0.0022955523672883787,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8872966946484785,0.72,1.0,0.0
0.001721664275466284,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.64,0.000976577401388571,0.0
0.10215208034433286,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.64,0.000976577401388571,0.10057471264367816
0.038522238163558105,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.96,0.000976577401388571,0.036853448275862066
0.00853658536585366,0.4015748031496063,0.35294117647058826,0.007263247639034628,0.8594241867785939,0.96,0.25001907377737087,0.006824712643678161
0.001721664275466284,0.25196850393700787,0.35294117647058826,0.8594241867785939,0.007263247639034628,0.64,0.0012054627298390174,0.0
0.004232424677187948,0.25196850393700787,0.35294117647058826,0.8594241867785939,0.007263247639034628,0.96,0.0012054627298390174,0.002514367816091954
0.001721664275466284,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8872966946484785,0.64,0.01594567788204776,0.0
0.001721664275466284,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8872966946484785,0.64,0.015915159838254367,0.0
0.10215208034433286,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8872966946484785,0.64,0.015915159838254367,0.10057471264367816
0.001721664275466284,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.64,0.0010223544670786603,0.0
0.10215208034433286,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8872966946484785,0.96,0.015915159838254367,0.10057471264367816
0.001721664275466284,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.64,0.0010681315327687496,0.0
0.05236728837876614,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8872966946484785,0.96,0.015915159838254367,0.0507183908045977
0.001721664275466284,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.64,0.0011139085984588387,0.0
0.006312769010043041,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.96,0.0011139085984588387,0.004597701149425287
0.008321377331420373,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.96,0.0011139085984588387,0.0066091954022988505
0.10215208034433286,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.64,0.0011139085984588387,0.10057471264367816
0.10215208034433286,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.64,0.0011139085984588387,0.10057471264367816
0.02582496413199426,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.96,0.0011139085984588387,0.02413793103448276
0.01406025824964132,0.0,0.0,0.847193074501574,0.007263247639034628,0.96,0.0011749446860456244,0.010919540229885057
0.011477761836441894,0.0,0.0,0.847193074501574,0.007263247639034628,0.96,0.0011749446860456244,0.008333333333333333
0.046054519368723096,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8872966946484785,0.96,0.015915159838254367,0.04439655172413793
0.003945480631276901,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8872966946484785,0.96,0.015915159838254367,0.0022270114942528735
0.003945480631276901,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.96,0.001159685664148928,0.0022270114942528735
0.001721664275466284,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8872966946484785,0.64,0.015762569619287403,0.0
0.001721664275466284,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8872966946484785,0.64,0.015747310597390707,0.0
0.0031563845050215206,0.0,0.0,0.007263247639034628,0.847193074501574,0.64,0.0005951018539711605,0.0
0.017144906743185077,0.0,0.0,0.007263247639034628,0.847193074501574,0.96,0.0005951018539711605,0.014008620689655173
0.0031563845050215206,0.0,0.0,0.847193074501574,0.007263247639034628,0.64,0.0011749446860456244,0.0
0.01721664275466284,0.0,0.0,0.007263247639034628,0.847193074501574,0.96,0.0005951018539711605,0.014080459770114942
0.0031563845050215206,0.0,0.0,0.847193074501574,0.007263247639034628,0.64,0.0011749446860456244,0.0
0.001721664275466284,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8872966946484785,0.64,0.015747310597390707,0.0
0.001721664275466284,0.4015748031496063,0.35294117647058826,0.007263247639034628,0.8594241867785939,0.64,0.25001907377737087,0.0
0.01685796269727403,0.0,0.0,0.847193074501574,0.007263247639034628,0.96,0.0011749446860456244,0.013721264367816092
0.03371592539454806,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8872966946484785,0.96,0.015747310597390707,0.03204022988505747
0.004519368723098996,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8872966946484785,0.96,0.015747310597390707,0.0028017241379310344
0.015566714490674318,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8872966946484785,0.96,0.015747310597390707,0.013864942528735632
0.002582496413199426,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.64,0.001159685664148928,0.0
0.001721664275466284,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.64,0.0011749446860456244,0.0
0.004519368723098996,0.25196850393700787,0.35294117647058826,0.8872966946484785,0.007263247639034628,0.96,0.0011749446860456244,0.0028017241379310344
0.001721664275466284,0.484251968503937,0.35294117647058826,0.007263247639034628,0.8872966946484785,0.64,0.015747310597390707,0.0
0.01721664275466284,0.0,0.0,0.007263247639034628,0.847193074501574,0.96,0.0006408789196612497,0.014080459770114942
0.0031563845050215206,0.0,0.0,0.847193074501574,0.007263247639034628,0.64,0.0011749446860456244,0.0
0.01685796269727403,0.0,0.0,0.847193074501574,0.007263247639034628,0.96,0.0011749446860456244,0.013721264367816092
0.017144906743185077,0.0,0.0,0.007263247639034628,0.847193074501574,0.96,0.000686655985351339,0.014008620689655173
0.0031563845050215206,0.0,0.0,0.847193074501574,0.007263247639034628,0.64,0.0011749446860456244,0.0
0.01327116212338594,0.0,0.0,0.847193074501574,0.007263247639034628,0.96,0.0011749446860456244,0.010129310344827586
0.01721664275466284,0.0,0.0,0.007263247639034628,0.847193074501574,0.96,0.0007324330510414282,0.014080459770114942
0.0031563845050215206,0.0,0.0,0.847193074501574,0.007263247639034628,0.64,0.0011749446860456244,0.0
0.010760401721664276,0.0,0.0,0.847193074501574,0.007263247639034628,0.96,0.0011749446860456244,0.007614942528735632
0.017288378766140602,0.0,0.0,0.847193074501574,0.007263247639034628,0.96,0.0011749446860456244,0.014152298850574712
